"Geneid" "5_B1_R1_4wk" "5_B1_R2_4wk" "5_B2_R1_4wk" "5_B2_R2_4wk" "5_cor_B1_R1_4wk" "5_cor_B1_R2_4wk" "5_cor_B2_R1_4wk" "5_cor_B2_R2_4wk"
"MEIS1" 7431 2269 2093 6421 2217 1874 3891 3810
"ETAA1" 1207 1407 1346 1094 1244 1106 1121 1123
"C1D" 695 724 764 698 601 631 779 685
"WDR92" 224 191 220 157 240 197 233 249
"PNO1" 600 939 867 506 491 553 625 538
"PPP3R1" 2138 2058 1823 2498 1776 1901 2264 2208
"CNRIP1" 1714 907 820 1999 1417 1892 1721 1669
"PLEK" 2 4 1 6 8 2 11 4
"FBXO48" 203 184 183 159 316 165 188 212
"APLF" 49 83 134 22 71 21 63 44
"PROKR1" 42 68 48 186 69 36 154 211
"ARHGAP25" 4 4 4 8 0 2 0 0
"BMP10" 0 0 0 0 0 0 0 0
"GKN2" 0 0 0 1 0 0 0 0
"GKN1" 0 0 0 0 2 0 0 0
"ANTXR1" 4992 7676 7822 5504 4282 4549 6985 6814
"GFPT1" 6402 8617 7587 7387 6798 6234 6682 6318
"NFU1" 1075 1117 1218 1023 806 899 965 880
"AAK1" 5833 3166 2375 7716 5958 5306 6738 6423
"ANXA4" 269 805 896 191 266 338 233 266
"GMCL1" 1264 1288 1237 1281 1396 1208 1394 1486
"SNRNP27" 1433 1781 1777 1495 1388 1193 1600 1467
"MXD1" 2189 1442 942 2733 2021 1979 1916 2142
"ASPRV1" 243 96 87 328 301 334 215 224
"PCBP1" 4017 5476 5701 3748 3221 3356 3687 3588
"C2orf42" 612 568 537 689 690 690 561 658
"TIA1" 19760 15740 13324 23868 25665 20821 19211 20714
"PCYOX1" 5113 4383 4317 5874 4193 4942 5820 5409
"SNRPG" 1496 2149 2454 1233 1146 1163 1433 1015
"FAM136A" 1445 1982 1793 1260 1160 1254 1275 1078
"TGFA" 4 4 0 23 7 0 28 58
"ADD2" 14580 7026 5780 10616 10982 11226 10544 10046
"FIGLA" 0 0 0 1 0 0 0 0
"CLEC4F" 8 14 3 5 4 4 6 10
"CD207" 0 4 12 2 0 0 0 2
"VAX2" 83 214 177 166 48 94 93 132
"ATP6V1B1" 70 109 112 80 71 48 43 44
"ANKRD53" 69 62 67 89 104 64 69 77
"TEX261" 2496 3084 2812 2707 2260 2439 2662 2271
"NAGK" 3029 2984 2841 3387 3873 3495 3451 2656
"MCEE" 156 348 336 205 225 195 183 194
"MPHOSPH10" 2081 2819 2430 2127 2090 2004 2101 2054
"PAIP2B" 665 401 390 773 646 526 735 774
"ZNF638" 14238 11261 10764 14474 15689 12048 14175 13224
"DYSF" 176 411 59 145 26 55 489 100
"CYP26B1" 2459 117 152 2442 206 297 719 729
"EXOC6B" 3638 3108 3099 4059 3519 3226 3836 3774
"SPR" 43 39 32 46 6 24 55 56
"EMX1" 3 0 0 0 5 0 1 2
"SFXN5" 1330 2548 2872 775 829 1081 1386 928
"RAB11FIP5" 819 977 852 847 616 787 860 869
"NOTO" 0 2 0 1 0 0 3 0
"SMYD5" 1391 1469 1468 1227 1447 1330 1235 1042
"PRADC1" 295 550 600 269 337 234 361 278
"CCT7" 11440 16116 19292 8860 8148 8130 10615 8016
"FBXO41" 2090 866 561 2541 1670 1793 2559 2397
"EGR4" 0 8 4 2 0 0 4 0
"ALMS1" 3674 4804 4236 3623 3875 2924 4000 3282
"NAT8" 16 7 2 28 24 27 17 29
"TPRKB" 859 949 1036 715 730 720 863 640
"DUSP11" 711 857 889 697 747 656 739 812
"C2orf78" 0 0 0 0 2 2 0 0
"STAMBP" 2110 2875 2879 1916 2037 2145 2035 1875
"ACTG2" 763 14611 16096 107 570 607 226 263
"DGUOK" 1518 1943 1873 1435 1281 1519 1436 1326
"TET3" 8543 7397 5110 10547 7892 7108 7576 8410
"BOLA3" 296 397 439 215 235 248 261 191
"MOB1A" 3760 6575 6789 3604 3099 3127 3065 2931
"MTHFD2" 1827 6302 5602 1231 1765 1819 1437 1188
"SLC4A5" 83 55 59 112 180 144 110 115
"DCTN1" 15425 12786 11506 13655 12395 12319 13861 12784
"C2orf81" 35 42 36 37 65 45 33 29
"WDR54" 938 1126 1316 762 825 768 927 740
"RTKN" 770 1078 1027 801 818 687 1253 1228
"INO80B" 58 59 43 56 119 62 41 35
"WBP1" 684 608 504 765 1282 911 632 629
"MOGS" 2376 4896 4455 2170 2412 2219 2292 1993
"MRPL53" 906 1194 1296 874 898 909 938 711
"CCDC142" 719 615 522 834 897 734 744 643
"TTC31" 999 1014 934 1024 1313 1085 1079 897
"LBX2" 6 4 9 2 2 8 4 0
"PCGF1" 465 510 530 484 598 533 563 493
"TLX2" 4 0 6 2 8 9 6 7
"DQX1" 20 17 14 16 53 27 30 11
"AUP1" 2751 2829 2921 2649 3217 2742 3199 2676
"HTRA2" 816 758 767 747 831 708 698 689
"LOXL3" 1295 1897 1728 1336 1587 1478 1234 1068
"DOK1" 359 445 447 316 253 397 420 354
"M1AP" 12 4 2 4 8 5 8 8
"SEMA4F" 2449 1782 1833 2142 1899 1943 2166 1644
"HK2" 996 1272 1337 601 863 684 651 563
"POLE4" 434 728 860 410 231 257 275 190
"TACR1" 187 34 22 120 26 58 85 62
"EVA1A" 16 4 8 7 13 8 2 2
"MRPL19" 1546 2227 2453 1283 1110 941 1424 1327
"GCFC2" 688 1054 1036 995 1211 894 1030 972
"LRRTM4" 1131 568 577 1223 942 1125 784 717
"REG3G" 0 0 0 0 0 0 0 0
"REG1B" 0 0 0 0 0 0 0 0
"REG1A" 0 2 0 4 4 4 1 0
"REG3A" 0 0 0 0 0 0 0 0
"CTNNA2" 5600 2240 1500 7554 5948 6411 6894 6702
"LRRTM1" 1507 97 61 640 554 465 657 548
"SUCLG1" 2318 2865 3068 2332 2126 2232 2571 2278
"DNAH6" 168 113 180 69 1117 822 474 444
"TRABD2A" 37 24 9 5 13 11 12 2
"TMSB10" 33823 45098 49096 25992 29069 30107 32705 23408
"KCMF1" 2864 3464 3503 3343 2814 2879 3037 2890
"TCF7L1" 1450 1552 1631 1382 1120 931 1715 2052
"TGOLN2" 7831 10262 9171 9060 7226 7066 7851 7503
"RETSAT" 1107 1869 2044 1035 914 980 1035 844
"ELMOD3" 1277 730 808 1280 1582 1128 1265 1049
"CAPG" 108 250 251 50 31 39 48 24
"SH2D6" 19 13 12 36 45 23 17 18
"MAT2A" 14319 14011 10130 16230 19837 15827 15513 13539
"GGCX" 1887 3995 3718 1991 2220 1815 1913 1742
"VAMP8" 17 16 30 11 19 7 26 20
"VAMP5" 75 220 204 73 12 26 55 26
"RNF181" 866 1742 1761 865 798 859 846 727
"TMEM150A" 477 640 737 424 580 535 503 358
"USP39" 2352 3164 3310 2159 1882 1926 2065 1709
"C2orf68" 2273 2262 1958 2752 2907 2490 2766 2837
"SFTPB" 17 5 9 8 11 9 2 4
"GNLY" 1 4 5 3 5 7 1 5
"ATOH8" 191 581 677 78 82 174 227 262
"ST3GAL5" 1220 998 850 970 905 1157 1506 1710
"POLR1A" 5333 5477 4574 5017 4689 4518 5765 5715
"PTCD3" 4807 5149 4858 4544 5113 4545 5117 4547
"IMMT" 4609 6533 6679 3991 3791 3951 3904 3504
"MRPL35" 2106 1938 2172 1944 1656 1576 1910 1870
"REEP1" 8992 2187 1641 9362 6181 8051 9207 9102
"KDM3A" 4982 5784 5935 6166 5669 5195 4972 5454
"CHMP3" 2030 2930 2734 1785 1348 1679 2104 1818
"RNF103-CHMP3" 8 9 6 22 12 17 12 19
"RNF103" 1437 1411 1332 2106 1545 1536 1981 1927
"RMND5A" 3827 3848 3404 3965 3316 2939 3690 3775
"CD8A" 150 20 30 167 120 131 226 182
"CD8B" 1 1 0 3 8 6 4 3
"RGPD1" 6 9 0 25 7 9 8 11
"PLGLB1" 96 33 25 124 118 114 108 111
"PLGLB2" 16 4 5 11 9 1 9 10
"RGPD2" 19 11 4 24 24 13 22 28
"KRCC1" 858 1076 1051 1126 979 992 1099 1088
"SMYD1" 28 5 2 25 4 6 889 123
"FABP1" 0 0 0 0 0 0 0 0
"THNSL2" 2 4 0 1 51 28 25 22
"FOXI3" 2 2 0 4 4 0 0 0
"TEX37" 0 2 2 0 0 0 0 0
"EIF2AK3" 1932 3537 2937 2207 1955 1763 1531 1564
"RPIA" 828 827 877 765 795 758 893 812
"IGKV1-33" 0 0 0 0 0 0 0 0
"IGKV2-40" 0 0 0 0 0 0 0 0
"IGKV2D-40" 0 0 0 0 0 0 0 0
"IGKV1D-33" 0 0 0 0 0 0 0 0
"IGKV2D-29" 0 0 0 0 0 0 0 0
"IGKV2D-28" 0 0 0 0 0 0 0 0
"TEKT4" 0 0 0 2 0 2 0 1
"MAL" 6 32 8 2 10 0 2 5
"MRPS5" 2766 2530 2424 2797 3107 2587 3361 2899
"ZNF514" 1990 1358 1316 2007 3314 2012 2456 1901
"ZNF2" 454 433 404 470 379 467 476 520
"PROM2" 536 162 142 600 726 542 624 563
"KCNIP3" 34 44 36 57 69 42 57 53
"FAHD2A" 1430 1199 1353 1409 1835 1592 1551 1471
"TRIM43B" 0 0 0 4 0 0 2 0
"TRIM43" 0 2 0 0 0 0 2 0
"ANKRD36C" 2687 1554 1005 3740 3083 2483 4287 3650
"GPAT2" 44 17 12 13 49 27 17 27
"ADRA2B" 2 8 12 0 6 4 1 4
"ASTL" 0 0 0 0 2 0 2 2
"DUSP2" 26 23 8 20 32 47 36 32
"STARD7" 6811 8053 7702 6827 5519 6161 7252 6419
"TMEM127" 3659 3749 3297 4285 2697 3218 3225 3326
"CIAO1" 2604 2289 2238 2936 2672 2449 2588 2391
"SNRNP200" 19638 22401 19901 20445 17851 17682 17884 16705
"ITPRIPL1" 20 101 63 44 10 16 27 4
"NCAPH" 657 1390 1177 213 311 359 434 129
"NEURL3" 10 11 0 0 2 7 24 7
"ARID5A" 278 334 299 306 323 470 421 352
"KANSL3" 4390 4453 3985 4143 4827 4407 3817 3551
"FER1L5" 96 73 79 187 269 146 110 88
"LMAN2L" 1350 1884 2156 1368 1301 1208 1535 1268
"CNNM4" 1630 1689 1581 1464 1808 1740 1710 1614
"CNNM3" 1728 1216 1144 2076 1799 1545 1771 1735
"ANKRD23" 524 300 237 629 629 556 384 477
"ANKRD39" 338 303 305 361 363 294 378 320
"SEMA4C" 4320 3813 3251 4935 4173 4401 3797 3705
"FAM178B" 0 10 3 6 2 4 5 4
"FAHD2B" 450 491 589 341 406 373 401 318
"ANKRD36" 2597 1810 1329 3956 3702 2909 4400 3193
"ANKRD36B" 1034 567 467 1457 1190 943 1703 1240
"COX5B" 2415 3760 4088 2129 1740 2028 2489 1920
"ACTR1B" 2621 2297 2763 2354 2821 2365 2593 2191
"LINC01125" 151 95 94 191 245 278 207 212
"ZAP70" 6 9 2 13 12 10 32 13
"TMEM131" 5876 6267 5483 6805 6206 5021 5843 5701
"VWA3B" 71 57 34 167 274 139 123 114
"CNGA3" 823 679 376 1364 2175 1496 1079 917
"INPP4A" 5707 3988 3631 6346 6610 5950 5734 5337
"COA5" 1712 1598 1732 2038 1904 1737 2042 1742
"UNC50" 1832 2090 1958 1980 1938 1745 1870 1720
"MGAT4A" 2105 564 331 2434 1521 1866 2368 2602
"KIAA1211L" 22 4 4 68 52 93 188 130
"TSGA10" 218 115 111 192 443 288 259 274
"C2orf15" 89 39 28 85 70 102 100 81
"LIPT1" 222 191 215 188 268 209 278 283
"MITD1" 776 767 813 709 834 766 717 599
"MRPL30" 1459 1972 2237 1180 1022 988 1333 1267
"LYG2" 73 35 20 82 85 63 71 68
"LYG1" 78 37 57 98 140 107 94 56
"TXNDC9" 782 1149 1228 975 606 752 810 710
"EIF5B" 7313 8787 8518 7590 5350 6191 7710 6348
"REV1" 2991 2658 2231 3536 3200 3219 3038 2863
"AFF3" 7028 5128 5304 9103 5840 6166 5783 5960
"LONRF2" 8880 6944 5922 10630 8969 8987 10770 11171
"CHST10" 2060 2752 2839 2074 1855 2043 2166 1832
"NMS" 4 2 0 0 6 0 1 0
"PDCL3" 906 1048 1098 697 616 691 709 564
"NPAS2" 40 5 4 38 76 32 202 171
"RPL31" 10422 22624 28641 7860 7976 7716 9818 7956
"TBC1D8" 456 200 164 418 403 383 441 417
"CNOT11" 1486 2125 2289 1336 1477 1346 1414 1129
"RNF149" 1064 1426 1364 1185 1169 1060 987 1031
"CREG2" 397 90 55 498 266 423 499 503
"RFX8" 2 4 0 5 0 0 0 1
"MAP4K4" 29971 26945 21796 34273 29735 27141 29412 29380
"IL1R2" 0 0 0 1 1 0 0 0
"IL1R1" 43 28 12 14 20 22 47 19
"IL1RL2" 0 0 0 0 0 0 2 0
"IL1RL1" 0 0 0 0 0 0 0 0
"IL18R1" 0 0 0 2 0 0 4 1
"IL18RAP" 2 0 0 4 0 1 0 1
"SLC9A4" 11 10 9 2 10 13 5 6
"SLC9A2" 23 6 2 16 26 10 12 31
"MFSD9" 815 768 587 918 828 662 741 802
"TMEM182" 279 349 359 226 202 207 341 181
"POU3F3" 10092 11306 10101 14982 11501 11852 8470 10096
"MRPS9" 953 1047 1001 646 753 714 769 624
"GPR45" 81 13 7 128 65 61 87 127
"TGFBRAP1" 2281 2158 1774 2427 1944 2076 2196 2310
"C2orf49" 1485 1469 1459 1675 1442 1250 1443 1477
"FHL2" 275 521 474 244 147 264 148 147
"NCK2" 2521 2352 2231 2998 2321 2287 2728 2594
"C2orf40" 19 2 8 12 12 17 33 49
"UXS1" 1078 1407 1400 962 894 980 1073 965
"RGPD3" 34 32 13 28 25 26 38 29
"ST6GAL2" 1623 305 233 2937 735 979 1530 1289
"RGPD4" 4 5 4 8 6 2 7 12
"SLC5A7" 48 0 6 6 1 2 26 12
"SULT1C3" 0 0 0 0 0 0 0 0
"SULT1C2" 4 124 103 7 15 17 13 9
"SULT1C4" 75 238 254 93 149 96 212 255
"GCC2" 2639 3163 2718 2875 3154 2539 2673 2657
"LIMS1" 1437 2860 2505 1667 977 1203 1501 1309
"RANBP2" 11344 14959 11684 11800 11177 9868 9928 9545
"CCDC138" 435 591 546 353 351 280 342 298
"EDAR" 10 3 4 5 7 2 7 4
"SH3RF3" 187 45 69 521 154 248 652 552
"SEPT10" 2028 3629 3719 1760 1988 1713 1644 1423
"SOWAHC" 1031 1666 1566 1428 1117 1272 1094 1107
"RGPD5" 45 98 18 36 99 36 48 24
"LIMS3" 0 0 0 0 0 0 0 0
"MALL" 0 2 0 4 2 0 2 0
"NPHP1" 402 363 416 345 987 718 613 511
"LINC00116" 88 156 212 78 63 77 107 50
"LIMS4" 0 0 0 1 0 0 1 0
"RGPD6" 20 22 6 302 28 81 37 107
"BUB1" 1488 3051 2956 351 756 588 810 272
"ACOXL" 9 5 10 37 30 18 14 16
"BCL2L11" 1277 1582 1346 2041 1930 1660 1657 2231
"ANAPC1" 1908 2680 2379 1467 1583 1423 1852 1573
"MERTK" 848 1369 1241 1551 2211 1886 1506 1402
"TMEM87B" 976 1504 1367 911 1165 1029 969 796
"FBLN7" 183 244 257 174 72 121 112 75
"ZC3H8" 2189 1507 1471 2090 2347 2122 2090 1979
"ZC3H6" 1826 1175 1197 2367 2356 1881 2104 2391
"RGPD8" 225 182 137 163 322 259 249 212
"TTL" 6674 6034 5045 6297 5013 4842 5694 4591
"POLR1B" 1413 2025 1777 1530 1314 1259 1584 1568
"CHCHD5" 503 676 722 454 339 456 479 421
"SLC20A1" 3702 4656 4171 2953 3387 3537 3454 2705
"NT5DC4" 10 9 7 0 4 4 1 0
"CKAP2L" 706 1767 1731 211 503 340 401 154
"IL1A" 9 22 23 4 4 3 3 0
"IL1B" 3 6 13 0 2 0 0 0
"IL37" 0 1 2 0 0 4 2 0
"IL36G" 4 0 0 0 0 6 0 2
"IL36A" 0 0 0 0 0 0 0 0
"IL36B" 0 0 0 0 0 0 0 0
"IL36RN" 0 0 0 0 0 0 1 0
"IL1F10" 0 0 0 0 0 1 0 0
"IL1RN" 0 0 0 0 0 0 0 2
"PSD4" 32 8 8 42 39 54 44 50
"PAX8" 3 0 0 0 0 4 0 2
"CBWD2" 1064 997 974 987 950 882 916 864
"FOXD4L1" 58 29 31 87 55 104 68 45
"RABL2A" 1178 717 869 1169 1812 1484 1262 1177
"SLC35F5" 2742 3912 3649 3261 3141 2899 2970 2944
"ACTR3" 10092 16754 17600 10495 8233 9178 9767 8577
"DPP10" 1990 626 551 1926 1143 1173 1602 1449
"DDX18" 4520 6531 5376 4911 4948 4847 4539 4190
"CCDC93" 7427 5578 4766 8925 11129 9118 8519 8043
"INSIG2" 966 1392 1381 1271 1414 1099 1227 1122
"EN1" 207 105 49 315 363 256 104 110
"MARCO" 9 0 0 19 4 4 2 2
"C1QL2" 21 3 4 12 10 24 26 33
"STEAP3" 71 146 83 81 57 72 106 65
"C2orf76" 191 266 260 189 189 220 274 230
"DBI" 1393 2271 2478 1270 1125 1957 4581 3659
"TMEM37" 35 7 24 39 10 28 16 16
"SCTR" 25 0 0 49 11 9 2 0
"CFAP221" 189 102 235 213 322 253 322 298
"TMEM177" 349 350 365 298 249 256 386 341
"PTPN4" 2634 2007 1614 3924 2784 2615 3540 4040
"EPB41L5" 4495 3803 3358 4654 3582 3453 4797 4353
"TMEM185B" 655 1308 1274 684 463 491 705 650
"RALB" 1490 1787 1898 1257 875 937 1302 1043
"INHBB" 706 352 202 1501 575 819 1051 897
"GLI2" 2390 3130 2445 1228 1742 1466 1535 1213
"TFCP2L1" 6 2 2 12 0 2 0 2
"CLASP1" 12015 10424 8073 13265 12203 10606 11718 12364
"NIFK" 1106 1685 1721 981 753 842 1084 943
"TSN" 4979 5878 5265 6100 4214 4590 5571 5417
"CNTNAP5" 1132 443 297 1677 1093 1101 1225 1573
"GYPC" 412 2451 3010 228 349 356 170 159
"BIN1" 4711 2567 2314 5505 4693 4537 5321 4474
"CYP27C1" 627 226 97 715 624 604 681 712
"ERCC3" 3348 3099 2738 3276 3769 3438 3594 3327
"MAP3K2" 4649 5041 4201 6319 5488 5528 5388 5709
"PROC" 27 52 80 21 16 32 10 20
"IWS1" 3027 3146 2993 2764 2568 2463 2936 2605
"MYO7B" 0 0 4 1 0 0 9 19
"LIMS2" 51 90 60 12 231 114 165 219
"GPR17" 4 12 9 3 8 11 255 403
"WDR33" 4881 5287 4557 5518 5034 4982 4466 4841
"SFT2D3" 0 0 0 0 0 0 0 0
"POLR2D" 2292 2541 2280 2426 2000 1929 2241 2007
"AMMECR1L" 2534 2604 2131 2580 2223 2115 2436 2483
"SAP130" 2985 2958 2739 3284 2867 2594 2962 2887
"UGGT1" 8097 9708 8491 8374 6942 6667 7666 6922
"HS6ST1" 5007 5285 5586 3170 2753 3357 2188 2282
"RAB6C" 53 39 54 68 48 42 52 86
"POTEF" 1 4 5 1 219 127 5 5
"CCDC74B" 146 38 60 119 288 194 159 149
"SMPD4" 3451 3909 3145 3323 3532 3491 3242 2915
"MZT2B" 457 784 824 421 334 404 396 314
"TUBA3E" 5 9 8 2 10 10 9 5
"CCDC115" 1406 1307 1354 1642 1305 1567 1444 1454
"IMP4" 1111 1354 1531 990 904 956 1158 962
"PTPN18" 829 933 939 712 834 740 874 687
"POTEI" 1 4 4 5 26 15 2 3
"CFC1B" 0 0 0 0 0 0 0 0
"TISP43" 0 0 0 0 0 0 0 0
"CFC1" 0 0 2 6 2 0 2 6
"POTEJ" 2 0 0 0 0 2 0 0
"GPR148" 2 0 0 0 0 0 1 2
"AMER3" 1122 225 140 769 650 678 664 800
"ARHGEF4" 1427 558 623 1584 2074 1912 1828 1491
"FAM168B" 14760 16455 14253 16394 13168 13574 14132 13984
"PLEKHB2" 7230 7565 8014 7050 5585 6145 7175 6571
"POTEE" 2 4 5 3 30 13 8 1
"WTH3DI" 52 33 27 72 40 46 67 111
"MZT2A" 625 842 979 530 459 566 654 472
"TUBA3D" 64 44 51 80 105 69 95 73
"CCDC74A" 356 228 211 308 684 351 411 319
"ANKRD30BL" 0 0 0 0 0 0 0 0
"GPR39" 81 69 33 118 39 53 52 38
"LYPD1" 1897 1427 1150 2753 585 1051 828 812
"NCKAP5" 1265 2152 2655 1220 1243 1363 1556 1448
"MGAT5" 10048 5065 4509 9437 4983 6140 5835 7180
"TMEM163" 660 347 246 923 807 994 1166 1234
"ACMSD" 38 14 10 72 76 60 55 49
"CCNT2" 7593 7068 5285 9023 8372 8352 7746 8196
"MAP3K19" 17 17 25 17 320 208 110 143
"RAB3GAP1" 3637 5091 4419 4090 3382 3561 4113 3958
"ZRANB3" 557 703 744 431 466 426 588 440
"R3HDM1" 4786 3177 3092 4375 4678 4115 4380 3960
"UBXN4" 9775 12339 11446 11658 10794 10428 10532 10227
"LCT" 3 3 12 8 12 10 5 1
"MCM6" 2338 4337 4374 1124 1460 1414 1804 964
"DARS" 2004 3831 4273 1950 1948 1925 1997 1680
"CXCR4" 2401 1618 1283 1937 1428 1648 1474 1187
"THSD7B" 60 36 38 13 129 98 27 4
"HNMT" 52 8 11 39 6 4 14 30
"SPOPL" 1494 1447 1542 1801 1272 1048 1613 1322
"NXPH2" 118 9 14 93 0 8 26 21
"LRP1B" 2251 1479 1110 5872 1375 1851 4455 6611
"KYNU" 5 62 93 10 12 10 8 10
"ARHGAP15" 44 82 54 2 5 8 2 13
"GTDC1" 830 1214 1266 1030 946 889 1221 1290
"ZEB2" 4080 7233 6493 3838 3579 2654 4912 6732
"ACVR2A" 6696 5884 4562 7554 7440 7336 6221 6713
"ORC4" 3908 3458 3241 4834 3721 3942 3780 4059
"MBD5" 2248 2106 1611 3138 2334 2088 2293 2751
"EPC2" 3953 3636 3161 5550 3903 4260 3948 4238
"KIF5C" 42093 33511 26867 48973 47678 43170 33487 33654
"LYPD6B" 31 32 23 41 34 46 58 40
"LYPD6" 539 711 537 1027 559 665 724 562
"MMADHC" 4026 4708 4339 5241 3461 3269 3836 3104
"RND3" 19499 20311 16739 32727 20184 16191 15189 14326
"RBM43" 79 187 254 194 99 106 201 183
"NMI" 4 28 14 6 14 22 40 29
"TNFAIP6" 12 12 10 2 22 17 56 97
"RIF1" 6309 7057 5514 7427 6480 5801 6977 6639
"NEB" 296 184 122 230 376 504 2464 680
"ARL5A" 2230 2865 2614 2296 2001 1820 2594 2578
"CACNB4" 1734 574 505 2014 2045 1586 1759 1793
"STAM2" 2884 3350 3108 3406 3163 2827 2789 3111
"FMNL2" 8416 5834 5010 9274 9929 9426 9981 8919
"PRPF40A" 7816 11355 10011 8442 7548 7184 7953 7541
"ARL6IP6" 1530 2466 2499 1509 1477 1441 1468 1175
"RPRM" 1113 94 83 243 820 753 247 126
"GALNT13" 720 109 100 262 433 515 716 1342
"KCNJ3" 53 33 37 30 71 207 44 14
"NR4A2" 203 95 68 340 481 381 233 478
"GPD2" 694 2073 2307 884 594 586 833 623
"GALNT5" 73 60 58 63 10 30 14 24
"ERMN" 0 2 2 2 0 0 0 4
"CYTIP" 4 2 0 5 6 1 3 2
"ACVR1C" 4 26 16 20 26 12 34 39
"ACVR1" 750 1546 1429 969 875 965 1141 1178
"UPP2" 22 2 4 38 53 41 66 84
"CCDC148" 73 56 104 110 112 103 148 171
"PKP4" 1687 2009 2673 1696 1673 1403 2143 1973
"DAPL1" 27 4 8 15 41 31 32 14
"TANC1" 2812 4389 3401 3833 3305 4299 3705 2816
"WDSUB1" 523 418 371 702 620 515 688 644
"BAZ2B" 10016 8821 6357 14094 10778 9609 11241 12147
"MARCH7" 5742 7355 7043 6772 5984 5528 6366 5804
"CD302" 18 12 11 32 22 14 40 34
"LY75-CD302" 0 0 0 0 0 0 0 0
"LY75" 25 10 0 31 14 13 16 19
"PLA2R1" 73 4 12 51 132 149 122 98
"ITGB6" 14 4 0 7 8 14 141 10
"RBMS1" 2840 5421 5009 5111 3935 3950 3896 3619
"TANK" 1443 1855 1742 1649 1492 1543 1517 1687
"PSMD14" 3031 4363 4112 2763 2048 2542 2959 2467
"TBR1" 21 142 102 14 180 35 29 14
"SLC4A10" 1514 297 223 881 1143 2017 744 726
"DPP4" 11 22 6 0 19 14 8 1
"GCG" 10 24 8 0 0 0 0 0
"FAP" 6 0 4 2 9 31 41 29
"IFIH1" 16 47 39 16 26 31 12 12
"GCA" 523 1153 1142 441 640 661 297 155
"KCNH7" 331 185 138 265 588 415 136 51
"FIGN" 8094 9711 7413 12345 8285 7606 8806 10938
"GRB14" 649 893 1080 550 1218 1234 713 558
"COBLL1" 619 2941 3080 369 1408 866 576 452
"SLC38A11" 0 1 1 6 0 0 4 5
"SCN3A" 13501 7651 5591 15085 13119 11668 13530 13170
"SCN2A" 6465 2110 1507 5521 4343 4899 5091 4823
"CSRNP3" 12951 8121 6402 16627 14246 13339 14676 14545
"GALNT3" 205 92 50 258 221 305 157 191
"TTC21B" 1916 1544 1442 2042 1796 1631 1885 1857
"SCN1A" 3689 2137 1189 3009 2654 6284 4076 3374
"SCN9A" 3907 3200 2705 1922 2506 2406 3233 2457
"SCN7A" 350 60 90 201 105 205 197 184
"XIRP2" 20 8 8 6 16 38 150 24
"B3GALT1" 1223 435 249 2341 989 1288 1804 2015
"STK39" 3098 3036 3034 2710 2124 1967 3175 2415
"CERS6" 5751 4841 4166 7718 5835 5284 6403 5894
"NOSTRIN" 82 124 85 38 87 58 84 34
"SPC25" 325 583 694 89 197 116 275 90
"G6PC2" 0 0 2 4 4 4 4 4
"ABCB11" 22 28 10 56 34 28 43 62
"DHRS9" 1 0 2 2 2 0 2 0
"LRP2" 10395 14256 16150 16933 13229 7028 3326 3570
"BBS5" 354 364 360 345 611 584 576 481
"KLHL41" 76 18 17 53 98 65 1701 206
"FASTKD1" 1230 974 1052 1029 1028 906 1179 1033
"PPIG" 5726 6301 6426 6718 5090 5205 6728 5807
"CCDC173" 92 100 92 109 224 191 236 174
"PHOSPHO2" 201 175 147 216 210 182 204 234
"KLHL23" 2734 2039 1879 2533 2384 1819 2429 1991
"SSB" 4915 6195 6681 4288 3898 4033 4636 4039
"METTL5" 866 1115 1168 742 754 734 897 767
"UBR3" 5340 4561 3552 6780 5640 5265 5681 5663
"MYO3B" 8 10 10 11 23 10 22 18
"SP5" 22 16 4 6 10 6 22 7
"ERICH2" 7 6 1 5 6 4 20 21
"GAD1" 2252 1037 678 3904 3632 2320 6193 7749
"GORASP2" 3123 5263 4478 3167 2557 2982 3279 3038
"TLK1" 3190 3569 3450 3268 2532 2579 3219 3033
"METTL8" 822 800 890 937 885 759 964 815
"DCAF17" 1821 1551 1425 1958 2000 1779 1899 1758
"CYBRD1" 924 2254 1930 1685 682 960 1048 1041
"DYNC1I2" 11329 11997 11966 10816 9776 9550 10389 9269
"SLC25A12" 2312 1865 1681 2208 2387 2040 2138 2150
"HAT1" 1208 2210 2299 1101 1097 1065 1502 1117
"METAP1D" 590 456 450 419 595 514 721 821
"DLX1" 784 369 242 201 650 274 922 1696
"DLX2" 415 178 116 106 325 140 468 754
"ITGA6" 1478 327 321 1224 971 808 2525 2279
"PDK1" 625 1094 1015 674 691 674 719 824
"RAPGEF4" 403 331 143 338 428 428 681 759
"MAP3K20" 1298 3112 3222 1316 1408 1182 1533 1288
"CDCA7" 940 1786 1951 431 975 857 822 421
"SP3" 4272 6887 5863 5207 4272 4468 4637 4781
"OLA1" 5411 6152 6363 4768 4151 4495 4677 4350
"SP9" 418 594 223 440 770 387 322 626
"CIR1" 1543 1773 1500 1863 1437 1617 1805 1917
"SCRN3" 1544 1823 1958 1775 1777 1525 1834 1755
"GPR155" 1350 753 589 1740 1553 1511 1786 1819
"WIPF1" 686 1413 1511 588 689 739 908 754
"CHRNA1" 26 646 453 57 22 32 107 51
"CHN1" 4965 13773 15558 4516 4503 4420 3130 2588
"ATF2" 4591 4603 4472 5435 4577 4439 4785 4925
