"Geneid" "5_B1_R1_9wk" "5_B1_R2_9wk" "5_B2_R1_9wk" "5_B2_R2_9wk" "5_cor_B1_R1_9wk" "5_cor_B1_R2_9wk" "5_cor_B2_R1_9wk" "5_cor_B2_R2_9wk"
"SKI" 2728 2139 4714 5282 3665 3851 2893 3912
"MORN1" 182 146 394 332 180 249 293 233
"RER1" 1378 975 2428 2718 1912 1651 1444 1928
"PEX10" 256 277 502 566 391 211 263 399
"PLCH2" 360 236 731 729 205 476 357 216
"PANK4" 775 352 1296 1201 1012 733 538 795
"HES5" 242 83 435 499 252 68 129 185
"TNFRSF14" 4 2 41 45 1 8 4 2
"FAM213B" 715 534 1345 1526 664 498 487 553
"MMEL1" 31 9 59 42 20 7 0 9
"TTC34" 27 31 78 78 7 10 2 36
"ACTRT2" 0 0 0 0 0 0 0 0
"PRDM16" 350 353 812 720 397 216 258 595
"ARHGEF16" 11 0 31 20 11 20 19 4
"MEGF6" 257 38 462 439 43 203 193 44
"TPRG1L" 673 405 1157 1176 571 522 435 574
"WRAP73" 345 193 632 633 543 459 421 506
"TP73" 15 21 33 59 77 55 42 59
"CCDC27" 3 3 4 12 1 3 7 0
"SMIM1" 0 0 2 5 0 0 1 2
"LRRC47" 1562 833 2309 2468 1811 1182 1168 1457
"CEP104" 1279 734 2138 2230 1409 1152 1091 1572
"DFFB" 297 144 466 437 411 350 325 407
"C1orf174" 382 217 602 618 511 412 355 416
"AJAP1" 209 31 202 241 48 56 44 36
"NPHP4" 718 468 1195 1311 972 928 757 1148
"KCNAB2" 561 323 852 1039 473 495 491 528
"CHD5" 4713 2542 5962 7159 2369 4029 3062 3157
"RPL22" 4727 2401 7055 8361 6994 3965 3981 5202
"RNF207" 197 140 309 388 156 292 247 189
"ICMT" 989 780 1854 2198 1564 1172 1016 1482
"HES3" 8 0 10 26 0 2 2 0
"GPR153" 1548 619 2531 3152 901 1524 1132 787
"ACOT7" 2144 1145 3065 3715 1569 1015 1068 1229
"HES2" 20 5 490 478 14 82 117 18
"ESPN" 104 49 1549 1667 71 230 534 60
"TNFRSF25" 833 793 1743 1920 1336 1663 1224 1512
"PLEKHG5" 1326 1448 4119 4832 2000 2762 2123 2731
"NOL9" 1084 547 1469 1792 1414 1106 914 1251
"TAS1R1" 1 6 6 6 0 12 8 2
"ZBTB48" 575 370 844 891 787 684 544 780
"KLHL21" 616 678 1396 1503 1089 880 693 1366
"PHF13" 705 525 1435 1371 1034 1039 845 1054
"THAP3" 305 160 589 612 347 298 289 367
"DNAJC11" 960 566 1484 1826 1418 898 840 1241
"CAMTA1" 5979 2981 7298 8068 4376 4199 3553 3970
"VAMP3" 785 881 1938 1834 1597 1236 1105 1710
"PER3" 296 408 900 745 444 434 500 474
"UTS2" 4 0 2 4 5 0 0 0
"TNFRSF9" 1 8 0 12 10 1 2 14
"PARK7" 2456 1697 4162 4582 3383 1950 1917 2790
"ERRFI1" 921 368 1273 1416 949 727 599 909
"SLC45A1" 174 134 236 341 191 131 92 166
"RERE" 8361 3362 11232 12816 8901 5058 4387 7777
"ENO1" 11035 5217 16253 20305 14367 10071 8503 10288
"CA6" 0 0 0 0 0 2 0 0
"SLC2A7" 0 0 0 2 0 0 0 0
"SLC2A5" 8 2 4 0 14 0 6 4
"GPR157" 24 8 66 72 43 34 45 38
"H6PD" 1082 1238 2746 2834 2695 2556 2432 2740
"SPSB1" 37 30 93 61 113 150 134 69
"SLC25A33" 275 204 459 441 319 242 214 286
"TMEM201" 735 310 1024 1082 1010 642 536 792
"PIK3CD" 108 105 259 235 136 172 146 184
"CLSTN1" 10908 6596 17234 18652 10160 6908 6612 10438
"CTNNBIP1" 1053 571 1717 2174 1290 656 745 1072
"LZIC" 979 573 1424 1668 1127 686 715 924
"NMNAT1" 198 155 457 420 308 257 230 355
"RBP7" 0 1 4 5 4 4 0 2
"UBE4B" 2406 1128 3260 3628 2833 1881 1850 2483
"KIF1B" 19876 10032 26760 29058 22911 13255 13833 22588
"PGD" 4559 2244 6311 7799 5908 3441 2964 5165
"CENPS" 25 21 28 34 32 33 22 40
"CORT" 39 15 61 62 69 65 40 64
"DFFA" 1292 863 2385 2237 1867 1135 1330 1489
"PEX14" 361 286 759 766 517 338 345 430
"CASZ1" 278 180 290 380 374 190 254 264
"C1orf127" 2 0 1 4 0 3 0 2
"TARDBP" 3002 1916 4842 4764 4188 3222 2884 3660
"MASP2" 313 196 494 652 331 330 239 337
"SRM" 907 514 1302 1709 1387 738 679 869
"EXOSC10" 1690 966 2697 2873 2600 2013 1767 2128
"MTOR" 3164 1647 4503 5424 4199 2792 2609 3620
"ANGPTL7" 6 8 32 36 4 0 16 4
"UBIAD1" 506 298 705 858 714 388 382 571
"DISP3" 3240 254 996 1548 939 477 408 891
"FBXO2" 163 382 403 319 131 177 154 141
"FBXO44" 1349 758 2227 2190 1047 1168 1212 1031
"FBXO6" 93 88 144 176 108 96 91 131
"MAD2L2" 1059 572 1745 1782 2030 958 1171 1224
"DRAXIN" 6265 971 7989 7379 2964 1491 1717 1965
"AGTRAP" 138 212 476 431 357 351 283 481
"C1orf167" 0 0 0 0 0 3 0 2
"MTHFR" 1253 536 1883 2063 1337 1050 927 1267
"CLCN6" 2340 1538 3867 3719 2731 2025 1899 2671
"NPPA" 62 9 29 31 101 27 13 65
"NPPB" 2 2 6 12 0 4 4 0
"KIAA2013" 848 593 1745 1705 1236 933 840 1144
"PLOD1" 922 935 3232 3293 1393 1930 1943 1459
"MFN2" 3588 1922 5488 6280 3830 2715 2563 3282
"MIIP" 749 367 1046 1175 778 705 621 729
"TNFRSF8" 8 0 0 0 0 0 0 2
"TNFRSF1B" 0 0 4 6 2 4 6 2
"VPS13D" 2979 1788 4427 4510 3623 2412 2497 3360
"DHRS3" 295 369 419 480 256 441 337 335
"AADACL4" 0 0 0 0 0 2 1 0
"AADACL3" 0 0 0 0 0 2 0 0
"C1orf158" 42 130 60 153 225 162 127 428
"PRAMEF12" 2 0 2 8 8 10 2 12
"PRAMEF1" 0 0 0 0 0 3 0 0
"PRAMEF11" 0 0 2 1 0 1 0 0
"HNRNPCL1" 2 2 0 0 0 2 0 1
"PRAMEF2" 2 0 0 0 0 5 0 0
"PRAMEF4" 0 0 0 3 0 0 0 0
"PRAMEF10" 0 0 0 0 0 0 0 0
"PRAMEF7" 0 0 0 0 0 0 0 0
"PRAMEF6" 0 0 0 0 0 0 0 0
"PRAMEF27" 0 0 0 0 0 0 0 0
"HNRNPCL3" 0 0 0 0 0 0 0 0
"PRAMEF25" 0 0 0 2 0 0 0 0
"HNRNPCL2" 0 0 0 2 0 0 0 0
"PRAMEF26" 0 0 0 0 0 0 0 0
"HNRNPCL4" 0 0 0 0 0 0 0 0
"PRAMEF9" 0 0 0 0 0 0 1 0
"PRAMEF13" 0 0 0 0 0 0 0 0
"PRAMEF18" 0 0 0 2 0 2 0 0
"PRAMEF5" 0 0 0 0 0 2 0 0
"PRAMEF8" 0 0 0 0 0 0 0 0
"PRAMEF33" 0 0 0 2 0 0 0 0
"PRAMEF15" 0 0 0 0 0 0 0 0
"PRAMEF14" 0 0 0 0 0 0 0 0
"PRAMEF19" 0 0 0 0 0 0 0 0
"PRAMEF17" 0 0 0 2 0 0 0 0
"PRAMEF20" 4 0 0 0 1 0 0 0
"LRRC38" 2 2 2 1 0 0 2 0
"PDPN" 1279 2934 3341 3880 1519 1685 1302 2174
"PRDM2" 3449 1146 4710 4902 3442 2261 1943 3013
"KAZN" 1025 935 2249 2296 943 1026 1228 1484
"TMEM51" 71 85 287 180 160 111 176 117
"FHAD1" 35 47 71 95 130 132 126 162
"EFHD2" 524 366 879 856 779 563 1097 662
"CTRC" 11 9 12 10 32 12 16 16
"CELA2A" 1 3 1 10 4 2 9 11
"CELA2B" 6 3 7 12 4 10 8 13
"CASP9" 360 314 530 692 649 489 768 589
"DNAJC16" 614 344 989 1065 879 652 570 754
"AGMAT" 4 4 12 15 7 8 5 12
"DDI2" 879 422 1441 1413 1106 877 857 932
"RSC1A1" 0 0 0 0 0 0 0 0
"PLEKHM2" 1561 1050 2882 2948 2269 1694 1548 2021
"SLC25A34" 243 111 256 278 325 258 241 224
"TMEM82" 0 3 3 0 0 0 0 4
"FBLIM1" 346 280 663 765 216 393 416 229
"UQCRHL" 190 109 376 396 279 251 224 283
"SPEN" 7411 2520 9597 10658 9434 5391 5058 7508
"ZBTB17" 1104 455 1583 1668 1437 946 788 1289
"C1orf64" 0 0 0 0 0 0 0 0
"HSPB7" 6 4 10 7 114 8 6 22
"CLCNKA" 0 0 6 2 0 2 0 4
"CLCNKB" 0 6 3 2 0 1 0 0
"FAM131C" 27 23 46 49 25 16 17 14
"EPHA2" 205 98 743 506 122 123 207 121
"ARHGEF19" 31 10 110 93 29 51 37 26
"RSG1" 95 56 161 161 104 62 90 86
"FBXO42" 1810 881 2668 2955 2081 1541 1381 1891
"SZRD1" 2354 2233 3674 3999 3416 2458 2284 3007
"SPATA21" 7 11 10 20 12 25 9 3
"NECAP2" 570 601 1328 1297 983 900 863 1126
"FAM231B" 0 2 0 2 0 2 0 0
"NBPF1" 1085 544 1494 1825 1031 766 740 896
"FAM231A" 0 0 0 0 0 0 0 0
"FAM231C" 0 0 0 0 0 0 0 0
"CROCC" 1401 723 2182 2408 1885 1790 1456 1651
"MFAP2" 153 16 435 391 144 948 500 65
"ATP13A2" 2893 1720 3950 4484 2405 1795 1728 2094
"SDHB" 551 408 1062 1086 885 414 541 694
"PADI2" 32 24 82 36 52 20 22 10
"PADI1" 0 0 0 0 0 0 0 0
"PADI3" 0 0 0 0 0 0 2 0
"PADI4" 0 0 0 2 0 1 0 0
"PADI6" 0 0 0 0 0 0 0 0
"RCC2" 2444 924 3486 3630 4706 2920 2393 3350
"ARHGEF10L" 1984 1377 3579 3834 2403 2116 1838 2590
"ACTL8" 0 0 0 0 0 2 0 4
"IGSF21" 20 34 18 19 32 14 31 17
"KLHDC7A" 0 0 2 6 2 2 6 0
"PAX7" 1163 323 205 139 224 38 76 139
"TAS1R2" 0 0 0 2 0 2 0 0
"ALDH4A1" 233 239 434 469 547 374 230 840
"IFFO2" 688 551 1336 1486 962 894 621 1117
"UBR4" 7874 4203 13177 13488 10247 7263 6864 9899
"EMC1" 2633 1791 4959 5289 3184 2279 2371 2921
"MRTO4" 746 547 1032 1148 1053 726 613 836
"AKR7L" 44 17 77 88 43 56 57 76
"AKR7A3" 64 47 116 137 113 111 78 115
"AKR7A2" 526 347 947 962 696 539 537 707
"PQLC2" 221 214 458 525 384 325 255 430
"CAPZB" 3274 2471 5393 5523 4897 2862 2782 4219
"MINOS1" 532 368 772 826 631 339 386 532
"MINOS1-NBL1" 0 0 0 0 0 0 0 0
"NBL1" 73 107 160 155 137 121 111 141
"HTR6" 1 1 0 0 6 2 2 4
"TMCO4" 8 9 9 9 33 16 22 36
"RNF186" 0 0 0 0 0 0 0 0
"OTUD3" 1265 628 1934 2242 1856 1546 1654 1693
"PLA2G2E" 2 0 2 0 2 6 2 0
"PLA2G2A" 8 0 0 0 0 0 0 3
"PLA2G5" 0 0 0 0 2 0 0 8
"PLA2G2D" 0 0 0 2 0 0 2 0
"PLA2G2F" 0 0 0 0 0 0 0 0
"PLA2G2C" 0 0 1 2 0 0 2 3
"UBXN10" 24 79 83 68 123 96 99 154
"VWA5B1" 13 25 34 30 120 98 120 141
"CAMK2N1" 1472 597 1728 1981 1956 828 842 1618
"MUL1" 581 482 1206 1352 857 540 445 712
"FAM43B" 49 61 144 112 70 97 73 119
"CDA" 0 0 0 0 0 0 0 0
"PINK1" 495 411 832 879 524 328 358 566
"DDOST" 2089 1489 4206 4358 3155 2393 2319 2570
"KIF17" 115 167 318 298 181 150 180 225
"SH2D5" 127 113 286 277 98 114 160 83
"HP1BP3" 8831 3908 12017 12675 10329 7555 6406 9112
"EIF4G3" 5855 3397 8997 9978 9421 5643 4892 7329
"ECE1" 1089 691 2542 2477 897 903 989 843
"NBPF3" 188 110 291 302 214 184 264 217
"ALPL" 83 51 62 59 255 76 84 138
"RAP1GAP" 922 994 1212 1160 2101 1580 1360 1515
"USP48" 1786 990 2945 3044 2325 1883 1816 2026
"LDLRAD2" 2 4 8 3 8 4 5 1
"HSPG2" 445 781 1452 1279 939 1954 1444 986
"CELA3B" 0 0 0 0 0 0 1 0
"CELA3A" 0 0 0 0 0 2 0 0
"CDC42" 7455 6100 10472 11836 7550 5298 5832 6624
"WNT4" 121 80 176 162 75 59 38 70
"ZBTB40" 1710 1085 2416 3054 2400 1689 1250 2442
"EPHA8" 57 41 56 42 65 34 42 22
"C1QA" 0 2 0 0 0 0 0 0
"C1QC" 1 0 0 1 0 2 0 0
"C1QB" 0 0 0 0 0 0 0 0
"EPHB2" 5990 1254 5773 7539 2884 1554 1288 2096
"LACTBL1" 0 0 0 2 0 0 0 0
"KDM1A" 7281 2641 10556 11048 7947 4553 4609 6069
"LUZP1" 1303 868 3017 2960 1526 1852 1276 1681
"HTR1D" 33 14 44 61 14 62 56 10
"AL109936.1" 0 0 0 0 0 0 0 1
"HNRNPR" 7076 3843 10448 11378 9279 5827 5560 6897
"ZNF436" 1494 1168 3845 3750 1539 1509 1213 1696
"AL109936.2" 1 4 6 3 9 4 2 2
"TCEA3" 5 14 36 35 31 55 35 47
"ASAP3" 693 681 1979 1759 1112 1351 1139 1352
"E2F2" 190 69 182 195 739 398 190 412
"AL021154.1" 0 0 2 0 2 0 0 0
"ID3" 82 137 232 158 803 474 433 950
"MDS2" 0 0 0 0 0 0 0 0
"RPL11" 6515 3732 9984 11994 10103 5960 5939 6601
"ELOA" 1560 771 2442 2606 2038 1444 1216 1856
"PITHD1" 1598 1094 2561 2985 1718 1193 1124 1481
"LYPLA2" 1142 647 1202 1516 1210 887 873 1165
"GALE" 394 208 634 731 460 390 313 370
"HMGCL" 264 276 786 745 430 307 414 513
"FUCA1" 241 256 464 552 214 224 210 260
"CNR2" 0 0 0 2 0 0 4 0
"PNRC2" 1925 1032 3172 3241 2882 1829 1687 2417
"SRSF10" 4709 2841 5553 6551 5935 4861 4471 4798
"MYOM3" 8 5 2 0 221 6 0 32
"IL22RA1" 0 0 0 2 0 0 0 0
"IFNLR1" 2 16 2 8 17 7 13 16
"GRHL3" 24 62 52 12 29 151 80 50
"STPG1" 131 243 259 226 194 214 291 294
"NIPAL3" 491 497 564 554 473 333 528 522
"RCAN3" 120 199 207 152 319 183 280 322
"NCMAP" 0 2 0 2 2 2 2 6
"SRRM1" 2912 2054 4758 4909 3842 3435 3353 3298
"CLIC4" 4238 1889 10920 9542 6272 4719 4754 4574
"RUNX3" 0 0 4 2 2 2 10 1
"SYF2" 876 431 1359 1430 1095 599 557 874
"RSRP1" 1562 1335 3808 3067 3610 3944 3022 4568
"RHD" 16 15 41 16 48 39 22 28
"TMEM50A" 2073 1364 3331 3627 2623 1385 1458 2289
"RHCE" 13 27 46 19 19 9 21 13
"TMEM57" 2388 777 2766 3604 1736 1084 986 1466
"LDLRAP1" 61 86 296 236 96 171 186 163
"MAN1C1" 619 1222 1994 1692 1217 1157 968 2691
"SELENON" 2475 2599 6287 6433 3649 3013 2979 3882
"MTFR1L" 1319 782 1960 2226 1543 1228 1047 1673
"AUNIP" 50 31 57 102 105 70 48 81
"PAQR7" 273 295 828 784 266 368 341 275
"STMN1" 17984 5312 23406 28646 12334 7560 7663 9574
"PAFAH2" 215 210 540 414 477 337 325 430
"EXTL1" 40 44 109 105 34 61 50 58
"SLC30A2" 2 2 8 6 6 6 4 0
"TRIM63" 2 4 20 12 14 6 4 4
"PDIK1L" 1439 657 1873 2195 1101 742 704 837
"FAM110D" 4 10 6 14 8 7 6 6
"ZNF593" 23 20 55 62 32 39 37 25
"CNKSR1" 185 83 169 237 200 195 159 168
"CATSPER4" 0 2 0 0 2 2 0 0
"CEP85" 705 461 1063 1166 1272 1029 853 1139
"SH3BGRL3" 810 505 1060 1264 878 573 684 762
"UBXN11" 378 412 849 961 951 883 827 1084
"CD52" 0 0 0 0 0 0 0 0
"ZNF683" 0 0 0 0 0 0 0 0
"LIN28A" 30 26 132 102 12 29 20 11
"DHDDS" 912 619 1499 1695 1089 821 739 789
"HMGN2" 5925 3575 9558 9934 10126 6784 5914 7004
"RPS6KA1" 196 88 179 218 66 60 93 60
"ARID1A" 8142 3509 10250 11419 8991 5852 5287 7455
"PIGV" 174 125 397 304 211 150 177 228
"ZDHHC18" 837 400 1196 1317 934 675 589 934
"SFN" 5 0 11 20 3 24 8 5
"GPN2" 986 564 1581 1839 1133 906 846 1279
"GPATCH3" 350 204 557 596 493 306 294 481
"NUDC" 2046 1786 3202 3336 2851 2152 2143 2633
"NR0B2" 0 2 0 2 0 2 2 1
"KDF1" 12 5 9 17 19 17 10 5
"TRNP1" 210 184 342 400 134 146 195 154
"FAM46B" 14 30 68 74 4 24 9 42
"SLC9A1" 530 392 953 958 496 667 561 469
"WDTC1" 1441 810 2677 2525 2099 1260 1334 1815
"TMEM222" 792 496 1441 1710 1022 725 645 880
"SYTL1" 17 9 89 81 9 46 47 13
"MAP3K6" 205 219 919 707 438 540 511 387
"FCN3" 0 3 0 4 2 0 0 0
"CD164L2" 0 2 3 2 2 0 7 0
"GPR3" 38 35 101 100 35 31 59 46
"WASF2" 1458 1716 4856 3719 3474 2880 3093 3174
"AHDC1" 2837 1470 4395 4174 2285 2168 2013 2659
"FGR" 4 0 2 0 2 2 0 2
"IFI6" 113 199 286 303 323 224 197 345
"FAM76A" 387 402 795 789 701 721 554 802
"STX12" 2299 1592 3925 4370 2773 1521 1612 2531
"PPP1R8" 1344 722 2075 2380 1865 1049 998 1520
"THEMIS2" 20 4 53 33 24 25 18 13
"RPA2" 683 395 1195 1240 1087 633 605 816
"SMPDL3B" 0 2 4 0 0 2 0 2
"XKR8" 10 6 6 23 52 48 38 48
"EYA3" 1097 526 1615 1824 1416 1055 948 1387
"PTAFR" 4 0 14 12 8 6 10 5
"DNAJC8" 2236 1549 3622 4266 2951 1733 1757 2405
"ATPIF1" 1218 850 2295 2428 1507 972 1209 1255
"SESN2" 899 527 2145 2024 1030 873 827 989
"MED18" 331 83 470 369 307 206 202 239
"PHACTR4" 1978 931 2945 3313 2912 2042 1729 2504
"RCC1" 581 270 935 1076 1078 720 532 770
"TRNAU1AP" 524 326 867 855 656 454 532 502
"TAF12" 303 153 588 618 473 328 261 360
"RAB42" 22 11 47 41 26 22 41 25
"GMEB1" 913 315 1066 1237 1005 621 545 869
"YTHDF2" 2802 1500 3621 4530 3418 2103 2148 2705
"OPRD1" 29 15 30 30 78 56 47 26
"EPB41" 3682 659 3928 4963 2612 1537 1292 1833
"TMEM200B" 31 16 119 131 21 63 57 14
"SRSF4" 3073 1795 4895 5357 4398 3302 2766 3697
"MECR" 305 273 585 586 601 388 333 398
"PTPRU" 142 361 307 325 507 356 305 449
"MATN1" 24 19 32 31 24 34 26 16
"LAPTM5" 4 6 16 28 8 4 6 0
"SDC3" 9819 11729 22447 22754 20738 13336 17034 18010
"PUM1" 6102 3493 8961 9099 6602 4587 4419 5656
"NKAIN1" 3348 597 3369 4187 1896 981 819 1265
"SNRNP40" 860 434 1255 1536 1242 761 740 839
"ZCCHC17" 915 528 1382 1566 1071 517 523 795
"FABP3" 268 200 465 473 233 171 129 158
"SERINC2" 544 339 1161 1102 446 472 510 395
"TINAGL1" 2 2 1 4 2 0 3 4
"HCRTR1" 13 25 23 25 19 7 28 9
"PEF1" 644 559 1195 1308 890 636 669 808
"COL16A1" 285 227 493 432 914 2734 2136 685
"ADGRB2" 2704 2568 5489 4986 4034 3192 3165 3876
"SPOCD1" 0 2 29 15 20 24 23 17
"PTP4A2" 3074 2545 4711 5490 4583 2931 2621 3740
"KHDRBS1" 7032 3210 10701 12228 9375 4910 4843 6968
"TMEM39B" 578 220 696 965 726 519 410 602
"KPNA6" 2333 1341 3680 3571 3139 2144 2087 2683
"TXLNA" 2011 1181 3404 3458 2963 2491 2073 2839
"CCDC28B" 399 277 565 769 523 279 351 454
"IQCC" 151 87 293 317 305 234 247 278
"DCDC2B" 130 95 233 219 249 241 218 178
"TMEM234" 206 154 455 451 370 375 283 327
"EIF3I" 1522 1070 2666 2623 2552 1488 1612 1735
"FAM167B" 11 9 51 34 13 25 30 11
"LCK" 0 0 0 2 0 2 2 2
"HDAC1" 1200 1184 2554 2479 2376 2087 1733 2316
"MARCKSL1" 19690 7253 23286 29180 20376 8638 8375 15261
"TSSK3" 331 143 520 625 336 377 320 372
"FAM229A" 77 58 135 152 104 148 112 102
"BSDC1" 2847 1301 4107 4736 2884 1710 1731 2626
"ZBTB8B" 939 444 1381 1362 755 491 541 746
"ZBTB8A" 695 277 795 948 623 469 395 473
"ZBTB8OS" 337 207 524 638 455 322 298 393
"RBBP4" 6951 3220 9829 11035 9309 5265 4610 7145
"SYNC" 48 201 309 343 118 196 162 209
"KIAA1522" 456 658 1088 1130 595 789 786 718
"YARS" 2234 1431 5434 5472 3673 2508 2409 2528
"S100PBP" 943 771 2087 2070 1748 1584 1383 1674
"FNDC5" 1276 343 1248 1453 683 529 397 440
"HPCA" 85 28 136 130 39 27 52 5
"TMEM54" 25 88 64 50 140 131 106 122
"RNF19B" 975 490 1414 1294 725 599 631 720
"AK2" 965 788 2181 2120 2074 1438 1216 1571
"AZIN2" 285 376 475 407 290 435 445 346
"TRIM62" 740 216 887 901 443 364 416 393
"ZNF362" 1404 740 1845 2180 1371 1132 975 1399
"A3GALT2" 30 4 3 30 20 12 8 21
"PHC2" 3452 1207 4267 5196 5670 2659 2230 4008
"ZSCAN20" 264 101 456 411 321 193 159 269
"CSMD2" 251 333 154 227 4433 440 253 2988
"HMGB4" 0 0 0 0 0 0 0 0
"C1orf94" 2 6 0 0 57 0 2 31
"SMIM12" 471 235 554 664 488 291 289 445
"GJB5" 6 2 3 10 2 6 2 3
"GJB4" 2 0 0 2 4 4 2 0
"GJB3" 0 4 1 0 0 2 4 3
"GJA4" 0 0 5 5 3 0 4 8
"DLGAP3" 487 318 636 648 436 314 334 357
"TMEM35B" 0 2 1 2 1 1 0 0
"ZMYM6" 388 290 752 878 669 536 510 628
"ZMYM1" 482 302 1132 1023 802 768 712 795
"SFPQ" 15122 6968 15984 23648 21120 11723 9963 15235
"ZMYM4" 4375 2280 6836 7087 5493 3238 3154 4534
"KIAA0319L" 2054 1541 4169 4106 3100 2175 2109 2701
"NCDN" 2219 1510 3625 3795 1573 1266 1247 1616
"TFAP2E" 396 311 518 512 377 552 485 361
"PSMB2" 2277 1628 3541 4309 3143 1744 1733 2409
"C1orf216" 122 45 99 161 615 243 174 483
"CLSPN" 374 162 445 416 930 641 352 493
"AGO4" 2640 1225 3584 4128 3307 2490 2270 2885
"AGO1" 4776 1797 6299 6920 4383 2762 2730 3892
"AGO3" 3029 1708 4679 4815 5156 3527 2813 4577
"TEKT2" 336 372 707 962 898 1006 823 1060
"ADPRHL2" 1040 607 1416 1694 1524 1599 1082 1405
"COL8A2" 18 14 106 62 15 156 105 28
"TRAPPC3" 945 669 1779 1776 1172 954 1073 1248
"MAP7D1" 5050 2912 8302 8473 5250 4041 3439 4733
"THRAP3" 4175 2328 6741 6781 6250 4007 3647 5140
"SH3D21" 263 129 494 678 188 280 298 158
"EVA1B" 104 123 257 236 119 255 307 136
"STK40" 1562 944 2827 3078 1825 1549 1385 1710
"LSM10" 261 188 569 658 318 275 243 311
"OSCP1" 172 145 341 403 316 237 227 312
"MRPS15" 368 220 653 672 492 330 308 397
"CSF3R" 0 0 0 0 0 0 0 0
"GRIK3" 4125 869 415 659 6497 1881 680 4401
"ZC3H12A" 18 24 48 49 64 79 63 38
"MEAF6" 2390 1120 3336 3819 2277 1593 1378 1987
"SNIP1" 468 249 776 988 533 427 331 509
"DNALI1" 1111 1448 2136 2842 2726 2394 1958 3362
"GNL2" 990 512 2019 1979 1660 1129 1055 1122
"RSPO1" 99 6 25 3 42 232 92 15
"C1orf109" 364 220 714 689 623 367 349 453
"CDCA8" 296 138 712 628 634 496 449 438
"EPHA10" 560 315 831 872 195 322 295 203
"MANEAL" 834 406 944 1166 670 320 370 575
"YRDC" 353 208 427 498 410 261 207 327
"C1orf122" 644 605 1161 1260 980 637 705 867
"MTF1" 797 549 1236 1369 1097 912 785 1116
"INPP5B" 458 223 913 886 689 538 609 570
"SF3A3" 2296 1187 3780 4096 3185 2339 2140 2398
"FHL3" 138 142 427 454 139 218 233 154
"UTP11" 741 393 1024 1135 946 535 517 642
"POU3F1" 223 55 432 607 48 47 109 40
"RRAGC" 396 385 856 965 567 520 395 600
"MYCBP" 67 29 185 160 141 110 115 110
"GJA9" 10 6 27 17 6 13 9 28
