wellID	ind_type	Measurement		
1	CTRL	696.8741502		
1	CTRL	414.0662511		
1	CTRL	565.616981		
1	CTRL	707.3584848		
1	CTRL	339.1306103		
1	CTRL	1106.775044		
1	CTRL	672.4075002		
1	MUT	627.1808498		
1	MUT	1253.446303		
1	MUT	670.8356608		
1	MUT	1043.159942		
1	MUT	963.6691863		
1	MUT	522.8597375		
1	MUT	926.8070336		
1	MUT	661.1997916		
2	CTRL	550.396933		
2	CTRL	1467.261571		
2	CTRL	755.6301199		
2	CTRL	435.9356903		
2	CTRL	599.5389017		
2	CTRL	950.5572046		
2	MUT	806.1981514		
2	MUT	1498.210314		
2	MUT	1002.100322		
2	MUT	443.2398512		
2	MUT	508.8237911		
2	MUT	683.0741063		
2	MUT	954.4030822		
2	MUT	851.5307374		
3	CTRL	424.5026667		
3	CTRL	497.0290804		
3	CTRL	337.5478367		
3	CTRL	443.6867887		
3	CTRL	869.2437336		
3	CTRL	537.8211782		
3	MUT	423.0339743		
3	MUT	1971.703434		
3	MUT	394.1438151		
3	MUT	686.0200097		
3	MUT	447.8290973		
4	CTRL	403.0907526		
4	CTRL	484.9981207		
4	CTRL	322.9021835		
4	CTRL	376.2769311		
4	CTRL	355.0679738		
4	CTRL	660.9058723		
4	MUT	420.2394515		
4	MUT	475.3459518		
4	MUT	451.3721388		
4	MUT	676.9861564		
5	CTRL	385.9281729		
5	CTRL	942.511009		
5	CTRL	481.4132824		
5	CTRL	485.82018		
5	MUT	954.971904		
5	MUT	1223.399152		
5	MUT	824.6482656		
5	MUT	353.3409575		
5	MUT	1419.133209		
5	MUT	654.9150453		
5	MUT	1039.175772		
5	MUT	400.3497027		
6	CTRL	608.97998		
6	CTRL	490.136919		
6	CTRL	564.598652		
6	CTRL	222.287132		
6	MUT	668.7180759		
6	MUT	823.6200118		
6	MUT	764.8415404		
6	MUT	343.639024		
6	MUT	319.2792254		
6	MUT	358.4869603		
6	MUT	1423.321608		
